Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
Validation Homolo. SCx -+A2:A85 homologation;OPTIMIZE CONSUMPTION AND AUTONOMY;MG2 - DMA;Synthèse;X;Toutes destinations;Aerodynamique;Aérodynamique;M1, N1;Test physique;100%;3000;Industrialisation;10.0;IDIADA Espagne;;Oui;Face avant & Face arrière;Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Dédié 
Mise au point Bruits Parasites;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Bruit ;Bruits Parasites général;Toutes catégories;Test physique;100%;2000;Industrialisation;2;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéïté dynamique passage au gué 5 et 10 cm;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Etanchéité sousbassement ;M1, N1;Test physique;100%;1500;Industrialisation;10.0;UTAC Oued Zem;;Oui;Face avant & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étancheïté statique renversement accidentel;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité Console;M1, N1;Test physique;100%;1500;Industrialisation;5.0;UTAC Oued Zem;;Non ;;;MC - Full test equipment;Partagé
Essai étanchéité statique auvent;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité auvent;M1, N1;Test physique;100%;1500;Industrialisation;5.0;UTAC Oued Zem;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Partagé
Essai étanchéité dynamique poussière (tunnel);RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité poussière;M1, N1;Test physique;100%;1450;Industrialisation;10.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéité dynamique eau / neige;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité silhouette complète;M1, N1;Test physique;100%;1500;Industrialisation;10.0;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéité statique eau;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité silhouette complète;M1, N1;Test physique;100%;1500;Industrialisation;10.0;Usine Stellantis Kénitra ;;Oui;Face avant & Face Arrière & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéité / condensation projecteurs, feux, feux diurnes;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Étanchéité;Etanchéité Feux ;Toutes catégories;Test physique;100%;1500;Industrialisation;10.0;Belchamp;;Oui;Face avant & Face arrière;Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Partagé
Essai étanchéité statique poussière (cabine);RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Etanchéité Poussière;M1, N1;Test physique;100%;1500;Industrialisation;10.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéïté statique lavage rouleaux;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité silhouette complète;M1, N1;Test physique;100%;1500;Industrialisation;3.0;Belchamp;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéïté statique lavage haute pression;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité silhouette complète;M1, N1;Test physique;100%;1500;Industrialisation;3.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéïté statique: exposition à la pluie en position découvert;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Europe;Étanchéité;Étanchéité ouvrants;M1, N1;Test physique;100%;1500;Industrialisation;10.0;Usine Stellantis Kénitra ;;Non ;;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai étanchéité poussière (cabine puis tunnel);RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Étanchéité;Etanchéité Poussière;M1, N1;Test physique;100%;1450;Industrialisation;20.0;UTAC Oued Zem;;Non ;;;MC - Full test equipment;Partagé
 R11 - Serrures et charnières portes;SAFE OPENING AND CLOSING OF THE VEHICLE;MG2 - DMA;Synthèse;X;Toutes destinations;La Conformité réglementaire;Conformité réglementaire et fonctionnelle de l’ouvrant ;M1, N1;Test physique;100%;to be defined;Industrialisation;2;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Prélim homologation AP TO  zone AV et/ou AR (entrebaillement);SAFE OPENING AND CLOSING OF THE VEHICLE;MG2 - DMA;Synthèse;X;Toutes destinations;La Conformité réglementaire;Conformité réglementaire et fonctionnelle de l’ouvrant / Etanchéité;M1, N1;Test physique;100%;3000;Industrialisation;1.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Essai CEM véhicule d'homologation;RESIST TO ELECTRO-MAGNETIC ENVIRONMENT;MG2 - DMA;Synthèse;X;Toutes destinations;"émissions électromagnétiques (EMI)
immunité électromagnétique (EMS)";CEM;Toutes catégories;Test physique;100%;20000;Industrialisation;30;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Essai vieillissement Bruits parasites banc B4V (avec écoute avant et map après vieillissement);RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Bruit ;Bruits Parasites après vieillissement;Toutes catégories;Test physique;100%;2000;Industrialisation;40.0;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Homologation DSGi;VEHICLE DYNAMICS;MG2 - DMA;Synthèse;X;Toutes destinations;Contrôle de la stabilité du véhicule;Sécurité;M1, N1;Test physique;100%;3000;Industrialisation;2.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Homologation Avertisseur Sonore;NOISE VIBRATION AND HARSHNESS;MG2 - DMA;Synthèse;X;Toutes destinations;"Niveau sonore minimal et maximal
Fréquence ou bande spectrale exigée
Fonctionnement correct dans les conditions d’usage
Temps de réponse
Localisation et intégrité acoustique";Avertisseur sonore;Toutes catégories;Test physique;100%;3000;Industrialisation;5.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Pré-Homolo Avertisseur sonore;NOISE VIBRATION AND HARSHNESS;MG2 - DMA;Synthèse;X;Toutes destinations;"Niveau sonore minimal et maximal
Fréquence ou bande spectrale exigée
Fonctionnement correct dans les conditions d’usage
Temps de réponse
Localisation et intégrité acoustique";Avertisseur sonore;Toutes catégories;Test physique;100%;3000;Industrialisation;5.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Homologations Inviolabilité PROVA Physique;ENSURE THEFT PROTECTION;MG2 - DMA;Synthèse;X;Europe;inviolabilité réglementaire;Inviolabilité;M1, N1;Test physique;100%;3000;Industrialisation;0.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
NSE : Homologation;NOISE VIBRATION AND HARSHNESS;MG2 - DMA;Synthèse;X;Toutes destinations;Bruit ;Avertisseur sonore;M1, N1;Test physique;100%;3000;Industrialisation;10.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Essuyage et Lavage Préliminaire Homologation UE;PERCEIVE ENVIRONMENT AND BE PERCEIVED;MG2 - DMA;Synthèse;X;Europe;Essuyage/Lavage;Essuyage/Lavage;M1, N1;Test physique;100%;2000;Industrialisation;5.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Essuyage et Lavage Homologation UE;PERCEIVE ENVIRONMENT AND BE PERCEIVED;MG2 - DMA;Synthèse;X;Europe;Essuyage/Lavage;Essuyage/Lavage;M1, N1;Test physique;100%;2000;Industrialisation;5.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Essuyage et Lavage Homologation USA;PERCEIVE ENVIRONMENT AND BE PERCEIVED;MG2 - DMA;Synthèse;X;USA;Essuyage/Lavage;Essuyage/Lavage;M1;Test physique;100%;2000;Industrialisation;15.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
HOMOLOGATION CHAMPS DE VISI EUROPE;PROVIDE PHYSICAL ERGONOMICS AND SPACE FOR OCCUPANTS AND LUGGAGE;MG2 - DMA;Synthèse;X;Europe;champ de vision;Visibilité;M1, N1;Test physique;100%;3000;Industrialisation;3.0;IDIADA Espagne;;Oui;Face avant & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (1 configuration de test) + 14 °_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;75.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP _ Real Driving Emissions (RDE)_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Test physique;100%;35000;Industrialisation;45.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Emissions _ Moteur essence _ Pollu/Conso _ WLTP _ Real Driving Emissions (RDE) + -7°_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;65.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Emissions _ Moteur essence _ Evaporation _ 48 h avec baking _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;140;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique_Coast Down _ WLTP _ Perte de trains _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;70.0;IDIADA Espagne;;Non ;;;MC - Full test equipment;Dédié 
AVAS Homologation;NOISE VIBRATION AND HARSHNESS;MG2 - DMA;Synthèse;X;Toutes destinations;AVAS;AVAS;M1, N1, L7;Test physique;100%;3000;Industrialisation;5.0;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Pesée véhicule;ENVIRONMENT ARCHITECTURE;MG2 - DMA;Synthèse;;Toutes destinations;Masses;Pesée véhicule;Toutes catégories;Test physique;100%;3000;Industrialisation;1.0;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Cotation Bruits Parasites;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Bruit ;Bruits Parasites;Toutes catégories;Test physique;100%;2000;Industrialisation;3.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Homologation ESC;VEHICLE DYNAMICS;MG2 - DMA;Synthèse;X;Toutes destinations;La Conformité réglementaire;Conformité réglementaire et fonctionnelle de ESC;M1, N1;Test physique;100%;5000;Industrialisation;40.0;IDIADA Espagne;;Oui;Soubassement ;;MC - Full test equipment;Dédié 
Frein principal - Homologation;VEHICLE DYNAMICS;MG2 - DMA;Synthèse;X;Toutes destinations;Freinage;Sécurité;Toutes catégories;Test physique;100%;5000;Industrialisation;20.0;IDIADA Espagne;;Oui;Soubassement ;;MC - Full test equipment;Dédié 
Calcul bruits parasites portes AV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Bruit ;Bruits Parasites portes;M1, N1;Numérique;100%;2000;Industrialisation;20.0;;;Oui;Vue latérale (Side view);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Calcul bruits parasites portes AR;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Bruit ;Bruits Parasites portes;M1, N1;Numérique;100%;2000;Industrialisation;30.0;;;Oui;Vue latérale (Side view);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Calcul bruits parasites Volet AR;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Bruit ;Bruits Parasites Volet;M1, N1;Numérique;100%;2000;Industrialisation;30.0;;;Oui;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Calcul bruits parasites planche de bord et console centrale;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Bruit ;Bruits Parasites planche de bord;M1, N1;Numérique;100%;2000;Industrialisation;30.0;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Calcul bruits parasites cielo ou toit ouvrant;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Bruit ;Bruits Parasites toit;M1, N1;Numérique;100%;2000;Industrialisation;30.0;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Performance chauffage_homologation;PROVIDE THERMAL COMFORT;MG2 - DMA;Synthèse;X;Toutes destinations;Performance chauffage;Performance thermique;M1, N1;Test physique;100%;3000;Industrialisation;20.0;IDIADA Espagne;;Oui;Face avant & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Performance dégivrage/désembuage_homologation;PROVIDE THERMAL COMFORT;MG2 - DMA;Synthèse;X;Toutes destinations;La conformité réglementaire ; Conformité réglementaire et fonctionnelle dégivrage/désembuage;M1, N1;Physique ;100%;3000;Industrialisation;2;IDIADA Espagne;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Dédié 
Eclairage et Signalisation - Préliminaire et Homologation;PERCEIVE ENVIRONMENT AND BE PERCEIVED;MG2 - DMA;Synthèse;X;Toutes destinations;Signalisation/Éclairage;Signalisation/Éclairage;Toutes catégories;Test physique;100%;3000;Industrialisation;15.0;IDIADA Espagne;;Oui;Face avant & Face Arrière  & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Selective Catalytic reduction_Homologation dégel;ENSURE THERMAL PROTECTION;MG2 - DMA;Synthèse;X;Toutes destinations;La conformité réglementaire ;SCR (Selective Catalytic Reduction) : fonctionnement en basse température;M1, N1;Physique ;100%;3000;Industrialisation;15.0;IDIADA Espagne;;Oui;Face arrière (Rear-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Dédié 
Masse et dimensions _ Capacité de démarrage en côte _ homologation;LONGITUDINAL PERFORMANCE AND DRIVABILITY;MG2 - DMA;Synthèse;X;Toutes destinations;Démarrage en côte;Sécurité ;Toutes catégories;Test physique;100%;3000;Industrialisation;20.0;UTAC Oued Zem;;Oui;Soubassement ;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (1 configuration de test)_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;65.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (2 configurations de test)_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;90.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (1 configuration de test) + Ki_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;45.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (1 configuration de test) + 14 ° + Ki_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;90.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ 23° + double testing NEDC VH/VL _ en sustaining, en depleting + autonomie ZEV_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;135.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ 23° + double testing NEDC VH/VL _ en sustaining, en depleting + autonomie ZEV + 14° en sustaining_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;145.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ 23° + double testing NEDC VH/VL _ en sustaining, en depleting + autonomie ZEV + ki_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;150.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ 23° + double testing NEDC VH/VL _ en sustaining, en depleting + autonomie ZEV + 14° en sustaining + Ki_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;160.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ BEV _ WLTP _ 23° VH/VL _ autonomie mode par  défaut_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1, L7;Physique ;100%;45000;Industrialisation;65.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/conso _ NEDC_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;65.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  Ki _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Test physique;100%;35000;Industrialisation;40.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP_  Ki _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;40.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur essence _ Pollu/Conso _ WLTP _ - 7°_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;25.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ Real Driving Emissions (RDE)_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;45.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ Real Driving Emissions (RDE) + - 7°_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;65.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ - 7°_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Test physique;100%;45000;Industrialisation;25.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique_WLTP_Accès aux informations EOBD _ Test perturbateur_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;85;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ NEDC_Accès aux informations EOBD _ Test perturbateur_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;85.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV_WLTP_Accès aux informations EOBD _ Test perturbateur_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;85.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Evaporation _ 48 h avec baking _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Test physique;100%;45000;Industrialisation;140.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur essence _ Evaporation _ 48 h sans baking _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;50.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur essence _ Evaporation _ 24 h _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Test physique;100%;35000;Industrialisation;30.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV _ Evaporation _ 48 h sans baking _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;50.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ Moteur thermique_Coast Down _ NEDC _ Perte de trains_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Europe;Emissions;Emissions;M1, N1;Physique ;100%;35000;Industrialisation;70.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ PHEV_Coast Down _ WLTP _ Perte de trains_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Physique ;100%;45000;Industrialisation;70.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Emissions _ BEV_Coast Down _ WLTP _ Perte de trains_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1, L7;Physique ;100%;45000;Industrialisation;70.0;IDIADA Espagne;;Non;;;MC - Full test equipment;Dédié 
Régulateur de Vitesse Véhicule - Limiteur _ fonctionnement _ homologation;LONGITUDINAL PERFORMANCE AND DRIVABILITY;MG2 - DMA;Synthèse;X;Toutes destinations;Emissions;Emissions;M1, N1;Test physique;100%;3000;Industrialisation;30.0;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
